,SERRINHA,FAZENDAVISTAALEGRE,CARACARAI,OBIDOS_PORTO,ALTAMIRA,PORTOVELHO,MANACAPURU,ITAPEUA,NAZARATH,TABATINGA
1985-11-15 12:00:00,180322080.0,17804546000.0,46751172.0,22460617000.0,,21054249000.0,5992029700.0,6041100300.0,19989322000.0,19989322000.0
1985-12-16 00:00:00,125464080.0,19161074000.0,59331956.0,31326896000.0,,29387844000.0,16235462000.0,17207214000.0,16160027000.0,16160027000.0
1986-01-16 00:00:00,173806600.0,44351630000.0,24381826.0,61875278000.0,,45107757000.0,26221027000.0,28332847000.0,42789188000.0,42789188000.0
1986-02-14 12:00:00,103735150.0,22882890000.0,12688911.0,45213130000.0,,21029487000.0,21903810000.0,22709770000.0,31321135000.0,31321135000.0
1986-03-16 00:00:00,116111390.0,38360564000.0,24153550.0,85975270000.0,,42256146000.0,56954434000.0,60458500000.0,88999350000.0,88999350000.0
1986-04-15 12:00:00,188354190.0,33635670000.0,11054058.0,99180170000.0,,32076530000.0,70374195000.0,72229820000.0,82555530000.0,82555530000.0
1986-05-16 00:00:00,66310580.0,18201997000.0,14710328.0,64310972000.0,,19761148000.0,45794700000.0,46191030000.0,45661946000.0,45661946000.0
1986-06-15 12:00:00,268020340.0,15279122000.0,285864540.0,37030633000.0,,16537170000.0,22165342000.0,22138530000.0,25082933000.0,25082933000.0
1986-07-16 00:00:00,557735500.0,5926871600.0,327302140.0,19050865000.0,,9088947000.0,10627724000.0,10272535000.0,9328554000.0,9328554000.0
1986-08-16 00:00:00,405999100.0,8522061000.0,132164856.0,18175308000.0,,7857033700.0,10342856000.0,10753021000.0,10320862000.0,10320862000.0
1986-09-15 12:00:00,173510670.0,3272527400.0,60865684.0,10138568000.0,,4860981000.0,6755022000.0,7036707000.0,8093977600.0,8093977600.0
1986-10-16 00:00:00,158017500.0,12447294000.0,41195052.0,21226037000.0,,17303341000.0,12665889000.0,13479584000.0,20726598000.0,20726598000.0
1986-11-15 12:00:00,271558240.0,7705691600.0,60884244.0,19837480000.0,,8677223000.0,14075994000.0,15503941000.0,19585522000.0,19585522000.0
1986-12-16 00:00:00,232699740.0,8123527700.0,31245152.0,23060365000.0,,10962418000.0,18043814000.0,18509406000.0,27454800000.0,27454800000.0
1987-01-16 00:00:00,167030940.0,18366024000.0,13311517.0,39252963000.0,,25725905000.0,25491331000.0,26689708000.0,33586584000.0,33586584000.0
1987-02-14 12:00:00,96681610.0,32562954000.0,8769770.0,65820357000.0,,33027066000.0,39111220000.0,42010145000.0,62531064000.0,62531064000.0
1987-03-16 00:00:00,148628180.0,17944180000.0,22974656.0,63735510000.0,,18284388000.0,46262637000.0,45877830000.0,42397225000.0,42397225000.0
1987-04-15 12:00:00,104904650.0,14693763000.0,15072288.0,36053280000.0,,18422872000.0,22361002000.0,22335336000.0,23883657000.0,23883657000.0
1987-05-16 00:00:00,267269400.0,14542616000.0,110373530.0,43649176000.0,,13218326000.0,31120120000.0,32164588000.0,38541824000.0,38541824000.0
1987-06-15 12:00:00,228129810.0,5386484000.0,154425440.0,20346161000.0,,5172813000.0,13694650000.0,13591424000.0,13218731000.0,13218731000.0
1987-07-16 00:00:00,410299840.0,17744843000.0,132856990.0,30211561000.0,,21949116000.0,14157539000.0,14505522000.0,17465170000.0,17465170000.0
1987-08-16 00:00:00,368856770.0,7367824000.0,107868440.0,18552005000.0,,9736888000.0,12094548000.0,12553440000.0,12729227000.0,12729227000.0
1987-09-15 12:00:00,294017060.0,3132876800.0,73567860.0,8062984000.0,,3930884000.0,5007954400.0,5051429400.0,3426531800.0,3426531800.0
1987-10-16 00:00:00,242721280.0,2269812700.0,49478200.0,5594994000.0,,6200989700.0,3848657200.0,3985766400.0,5001144300.0,5001144300.0
1987-11-15 12:00:00,201356940.0,9596541000.0,32572322.0,17026842000.0,,18610676000.0,10710991000.0,11577574000.0,18654243000.0,18654243000.0
1987-12-16 00:00:00,98496740.0,32595670000.0,18733756.0,46645797000.0,,33299126000.0,21571320000.0,23830178000.0,40332520000.0,40332520000.0
1988-01-16 00:00:00,83491000.0,17290620000.0,17846150.0,34372240000.0,,20069976000.0,18966628000.0,18553213000.0,26624279000.0,26624279000.0
1988-02-15 00:00:00,166390780.0,26383590000.0,10765564.0,56387680000.0,,24846948000.0,37153137000.0,41079263000.0,56637400000.0,56637400000.0
1988-03-16 00:00:00,227980430.0,24111350000.0,7212527.0,58248073000.0,,25948692000.0,36883587000.0,36987675000.0,40846100000.0,40846100000.0
1988-04-15 12:00:00,46837736.0,41938924000.0,3130659.0,67373384000.0,,40974975000.0,27929547000.0,29878096000.0,41660080000.0,41660080000.0
1988-05-16 00:00:00,140475380.0,21338757000.0,13951442.0,56257806000.0,,23083926000.0,35824190000.0,35016480000.0,34069230000.0,34069230000.0
1988-06-15 12:00:00,266732830.0,12198578000.0,116577330.0,30731550000.0,,12174086000.0,17418938000.0,17304381000.0,17304244000.0,17304244000.0
